guest,n_used,system,mean_dist,median_dist,pct_within_7A,pct_within_5A,abbrev,Rg
17-alpha-ethinylestradiol,20000,MOF-545_17-alpha-ethinylestradiol,11.2843874299119,11.298025571362547,1.245,0.005,EE2,3.658768507550066
17-beta-estradiol,20000,MOF-545_17-beta-estradiol,11.166632822978212,11.158148969090874,1.585,0.0,E2,3.480947609731799
acetaminophen,20000,MOF-545_acetaminophen,10.613700266508255,10.621915354731604,4.760000000000001,0.1149999999999999,AC,2.635931395176184
atenolol,20000,MOF-545_atenolol,11.382854884994732,11.47371655200302,2.455,0.04,AT,4.62068390463789
benzafibrate,20000,MOF-545_benzafibrate,11.321777309611331,11.299338743570654,0.6799999999999999,0.0,BZA,3.5329128740415108
carbamazepine,20000,MOF-545_carbamazepine,10.979276755862076,10.967490796055234,1.685,0.015,CAR,2.7986058176922746
ciprofloxacin,20000,MOF-545_ciprofloxacin,11.372398667652227,11.362517054387084,0.995,0.015,CPFX,3.830145709851658
diclofenac,20000,MOF-545_diclofenac,11.051114509864728,11.006020444610602,1.585,0.015,DIC,3.049730629993657
estrone,20000,MOF-545_estrone,11.171459169557926,11.155565441946214,1.435,0.0,E1,3.457385642067
gemfibrozil,20000,MOF-545_gemfibrozil,11.21457313103192,11.200078152537642,1.205,0.01,GFB,3.529327851626924
ibuprofen,20000,MOF-545_ibuprofen,11.042149029681088,11.026846249616977,2.375,0.025,IBU,3.2153989245952426
ketoprofen,20000,MOF-545_ketoprofen,11.076550664466945,11.061992223355782,2.185,0.0349999999999999,KETO,3.685854591106469
naproxen,20000,MOF-545_naproxen,10.99243629121054,11.00263040072451,2.8400000000000003,0.03,NAP,3.465084967542101
oxypurinol,20000,MOF-545_oxypurinol,10.417170634054964,10.414382801890165,6.295000000000001,0.2,OXP,2.1717232992410067
sulfadiazine,20000,MOF-545_sulfadiazine,10.983563206267084,10.97300104793258,2.43,0.05,SSD,2.975129509838817
sulfamethoxazole,20000,MOF-545_sulfamethoxazole,10.994306538086809,10.97247292331215,2.15,0.03,SXT,3.0902234364393752
triclosan,20000,MOF-545_triclosan,10.991919447890192,11.01580674857814,2.59,0.04,TCS,3.725360543416584
trimethoprim,20000,MOF-545_trimethoprim,11.28749050961808,11.283239644709814,1.18,0.0,TMP,3.5809192165208885
clofibric-acid,20000,MOF-545_clofibric-acid,10.826208285589995,10.820644049868228,3.44,0.025,CLF,3.189149159955274
sulfamethazine,20000,MOF-545_sulfamethazine,11.163051541749327,11.146252751881155,1.315,0.02,SMZ,3.189976989188801
