host,descriptor,pearson_r,pearson_p,spearman_r,spearman_p
shp,NumHAcceptors,-0.22019125522931954,0.35090294515595016,-0.40611631445583896,0.07560938684220227
shp,NumHDonors,-0.37547038244581,0.1028129989128045,-0.37546963074131917,0.10281374301071174
shp,MolLogP,0.3376196859217166,0.1454447488632742,0.4330827067669173,0.05646561004225937
shp,NumAromaticRings,-0.31278714829596754,0.1793559221683123,-0.28319693016191544,0.22631390684750174
shp,NumRotatableBonds,-0.3848101089511783,0.09386645567762911,-0.2976544428195318,0.2024628661101672
shp,MaxAbsPartialCharge,0.04405695721351733,0.8536753621342987,0.18305117206162264,0.43982994957753196
shp,Rg,0.02102812390677145,0.9298809312683464,-0.025563909774436087,0.9148041683144317
shp,min_rot_width,0.33265019917442556,0.15184113474231106,0.33684210526315783,0.14643294329466047
shp,NPR1,-0.14016851534718902,0.5555848776366304,-0.025563909774436087,0.9148041683144317
shp,NPR2,0.426848629244253,0.06052221531702643,0.22255639097744356,0.34562063374685487
csq,NumHAcceptors,0.015145120472976378,0.9494693745741191,-0.11764480537808035,0.6213287485089485
csq,NumHDonors,-0.15091615771951633,0.5253540193490248,-0.23529430193122666,0.31797605435415865
csq,MolLogP,-0.043942874043386836,0.8540503664520553,-0.04210526315789473,0.8600949015145795
csq,NumAromaticRings,0.4118835381386974,0.07115771302224148,0.46019501151311265,0.04117851022233542
csq,NumRotatableBonds,-0.18864253669383615,0.425739061623565,-0.054608437829939946,0.8191320611855297
csq,MaxAbsPartialCharge,-0.4432982192195322,0.05026921938402609,-0.36007596808829473,0.11888615234834297
csq,Rg,-0.1770502857576484,0.4552206543652587,-0.13984962406015036,0.5564935505662204
csq,min_rot_width,-0.017001010712573903,0.9432863476374197,0.006015037593984962,0.9799209119891912
csq,NPR1,0.1518461622036708,0.5227748092980912,0.2781954887218045,0.23497379059889353
csq,NPR2,0.014425943895323399,0.9518661277100674,-0.12030075187969923,0.6134176645307824
scu,NumHAcceptors,-0.3457833185806941,0.13535036684678556,-0.4278725455874018,0.059841238552901216
scu,NumHDonors,-0.15520689324399176,0.5135042360970099,-0.16520663752618045,0.4863910972512331
scu,MolLogP,0.09970634115565918,0.6757760796016492,0.09774436090225563,0.6818324385070821
scu,NumAromaticRings,-0.0854588991985079,0.7201699877423524,-0.053099424405359155,0.8240541435865736
scu,NumRotatableBonds,-0.48940708825179946,0.028515194277202064,-0.4468662306928888,0.04823239004017347
scu,MaxAbsPartialCharge,-0.12192820965155204,0.6085902474916158,0.10546158061163444,0.6581219354266513
scu,Rg,-0.4805745658945124,0.03196694787136526,-0.5308270676691729,0.01603544437677618
scu,min_rot_width,-0.30099836913843536,0.19719447869683726,-0.27518796992481204,0.24028302808113727
scu,NPR1,0.0947354467961768,0.6911569304308713,0.10075187969924812,0.6725564354857819
scu,NPR2,0.06738988693106433,0.7777196224663062,-0.03458646616541353,0.8849015088305833
sqc,NumHAcceptors,-0.17922972446641416,0.44959919101346635,-0.18855400314021098,0.42596028123154295
sqc,NumHDonors,-0.3944828377480362,0.0852161601576744,-0.3454320602820136,0.13577423164447616
sqc,MolLogP,0.22922126720823238,0.33098634386727377,0.10526315789473684,0.6587277693915813
sqc,NumAromaticRings,-0.22288661949345742,0.3448868033054889,-0.14159846508095772,0.5515184339714899
sqc,NumRotatableBonds,-0.38513468699351083,0.09356615761716797,-0.3584159440669297,0.12072090759205834
sqc,MaxAbsPartialCharge,-0.02836050100023078,0.9055220382970618,0.10621487761600326,0.6558238021100468
sqc,Rg,-0.12786415494990414,0.5911157162582508,-0.18796992481203004,0.42742125802266406
sqc,min_rot_width,0.13342427457167977,0.5749418857430171,0.04060150375939849,0.8650468790077723
sqc,NPR1,-0.13602051508678453,0.5674558532917555,-0.18496240601503755,0.43498614362285265
sqc,NPR2,0.2180030818265317,0.35583140707542893,0.015037593984962403,0.9498276950483329
